,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,
Employees,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
CEO,,,,"$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ",
CTO,,,,"$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ",
Senior BackEnd,,,,"$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ",
Senior LLM ,,,,"$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ",
Frontend,,"$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ","$12,000 ",
Designer ,,,"$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ",
Marketing ,,,"$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ",
Produt Manager,,,,,,,,,,"$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ",
Total employees,0,"$12,000 ","$29,000 ","$75,000 ","$75,000 ","$75,000 ","$75,000 ","$75,000 ","$75,000 ","$85,000 ","$85,000 ","$85,000 ","$85,000 ","$85,000 ","$85,000 ","$85,000 ","$85,000 ","$85,000 ",
,,,,,,,,,,,,,,,,,,,
Marketing & Sales,,,"$10,000 ","$10,000 ","$10,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ","$20,000 ","$20,000 ","$20,000 ","$20,000 ","$30,000 ","$30,000 ","$30,000 ","$30,000 ","$30,000 ",
R&D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Programs,"$2,750 ","$2,750 ","$2,750 ","$2,750 ","$2,750 ","$2,750 ","$2,750 ","$2,750 ","$2,750 ","$2,750 ","$3,300 ","$3,300 ","$3,300 ","$3,300 ","$3,300 ","$3,300 ","$3,300 ","$3,300 ",
Cloud & privacy,3000,"$3,000 ","$3,000 ","$3,000 ","$3,000 ","$3,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ","$6,000 ",
Computers,,"$8,000 ",,,,,,,"$5,000 ",,,,,,,,,,
Total R&D,"$5,750 ","$13,750 ","$5,750 ","$5,750 ","$5,750 ","$5,750 ","$8,750 ","$8,750 ","$13,750 ","$8,750 ","$9,300 ","$9,300 ","$9,300 ","$9,300 ","$9,300 ","$9,300 ","$9,300 ","$9,300 ",
G&A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Office ,,,,,,,,,"$15,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ","$15,000 ",
Accounting,,"$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ","$1,500 ",
Legal,,"$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ","$2,000 ",
Other,"$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ","$3,500 ",
Total G&A,3500,"$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$7,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ","$22,000 ",
Buffer (10%),$925 ,"$3,275 ","$5,175 ","$9,775 ","$9,775 ","$10,275 ","$10,575 ","$10,575 ","$12,575 ","$13,575 ","$13,630 ","$13,630 ","$13,630 ","$14,630 ","$14,630 ","$14,630 ","$14,630 ","$14,630 ",
Total Expenses,"$10,175 ","$36,025 ","$56,925 ","$107,525 ","$107,525 ","$113,025 ","$116,325 ","$116,325 ","$138,325 ","$149,325 ","$149,930 ","$149,930 ","$149,930 ","$160,930 ","$160,930 ","$160,930 ","$160,930 ","$160,930 ","$2,205,940 "
